step,obj_values,accepted
42,566.616773,false
43,550.93424,false
43,590.752685,false
43,555.339929,false
43,550.93424,false
43,555.339929,false
43,537.105934,true
43,555.339929,false
43,537.105934,true
43,555.339929,false
43,590.752685,false
43,566.616773,false
43,550.93424,false
43,550.93424,false
43,550.93424,false
43,566.616773,false
43,566.616773,false
43,555.339929,false
44,537.105934,true
44,590.752685,false
44,590.752685,false
44,566.616773,false
44,550.93424,false
44,590.752685,false
44,590.752685,false
44,555.339929,false
44,550.93424,false
44,555.339929,false
44,555.339929,false
44,590.752685,false
44,550.93424,false
44,590.752685,false
45,590.752685,false
45,566.616773,false
45,590.752685,false
45,550.93424,false
45,590.752685,false
45,550.93424,false
45,550.93424,false
45,590.752685,false
45,555.339929,false
45,555.339929,false
45,555.339929,false
45,590.752685,false
45,590.752685,false
45,550.93424,false
45,550.93424,false
46,590.752685,false
46,566.616773,false
46,590.752685,false
46,590.752685,false
46,537.105934,true
46,550.93424,false
46,550.93424,false
46,555.339929,false
46,555.339929,false
46,566.616773,false
46,537.105934,true
46,566.616773,false
46,590.752685,false
46,566.616773,false
46,537.105934,true
46,555.339929,false
47,590.752685,false
47,590.752685,false
47,550.93424,false
47,537.105934,true
47,550.93424,false
47,566.616773,false
47,550.93424,false
47,555.339929,false
47,590.752685,false
47,590.752685,false
47,537.105934,true
47,590.752685,false
48,537.105934,true
48,555.339929,false
48,550.93424,false
48,590.752685,false
48,590.752685,false
48,537.105934,true
48,550.93424,false
48,590.752685,false
48,550.93424,false
48,590.752685,false
48,550.93424,false
48,566.616773,false
48,590.752685,false
48,566.616773,false
48,550.93424,false
48,555.339929,false
49,550.93424,false
49,566.616773,false
49,590.752685,false
49,590.752685,false
49,550.93424,false
49,590.752685,false
49,566.616773,false
49,550.93424,false
49,550.93424,false
49,555.339929,false
49,555.339929,false
49,537.105934,true
49,550.93424,false
50,590.752685,false
50,590.752685,false
50,566.616773,false
50,590.752685,false
50,566.616773,false
50,550.93424,false
50,590.752685,false
50,550.93424,false
50,555.339929,false
50,590.752685,false
50,590.752685,false
50,537.105934,true
50,555.339929,false
50,566.616773,false
50,590.752685,false
50,555.339929,false
51,566.616773,false
51,537.105934,true
51,590.752685,false
51,566.616773,false
51,537.105934,true
51,550.93424,false
51,566.616773,false
51,537.105934,true
51,566.616773,false
51,566.616773,false
51,590.752685,false
51,590.752685,false
51,555.339929,false
51,555.339929,false
51,550.93424,false
51,550.93424,false
52,590.752685,false
52,555.339929,false
52,550.93424,false
52,590.752685,false
52,566.616773,false
52,590.752685,false
52,590.752685,false
52,566.616773,false
52,566.616773,false
52,590.752685,false
52,555.339929,false
52,566.616773,false
52,590.752685,false
52,566.616773,false
53,537.105934,true
53,537.105934,true
53,555.339929,false
53,550.93424,false
53,550.93424,false
53,537.105934,true
53,555.339929,false
53,537.105934,true
53,590.752685,false
53,555.339929,false
53,537.105934,true
53,537.105934,true
53,566.616773,false
53,555.339929,false
53,566.616773,false
53,550.93424,false
54,566.616773,false
54,566.616773,false
54,590.752685,false
54,590.752685,false
54,590.752685,false
54,537.105934,true
54,590.752685,false
54,555.339929,false
54,550.93424,false
54,566.616773,false
54,590.752685,false
54,555.339929,false
54,566.616773,false
54,555.339929,false
54,550.93424,false
54,555.339929,false
55,566.616773,false
55,590.752685,false
55,555.339929,false
55,555.339929,false
55,590.752685,false
55,590.752685,false
55,550.93424,false
55,566.616773,false
55,537.105934,true
55,566.616773,false
55,590.752685,false
55,590.752685,false
55,590.752685,false
55,590.752685,false
56,590.752685,false
56,590.752685,false
56,555.339929,false
56,590.752685,false
56,550.93424,false
56,555.339929,false
56,550.93424,false
56,590.752685,false
56,550.93424,false
56,537.105934,true
56,550.93424,false
56,550.93424,false
56,555.339929,false
56,566.616773,false
56,590.752685,false
57,537.105934,true
57,550.93424,false
57,537.105934,true
57,590.752685,false
57,555.339929,false
57,566.616773,false
57,590.752685,false
57,537.105934,true
57,590.752685,false
57,550.93424,false
57,555.339929,false
57,537.105934,true
57,590.752685,false
57,555.339929,false
57,590.752685,false
58,566.616773,false
58,590.752685,false
58,537.105934,true
58,590.752685,false
58,590.752685,false
58,590.752685,false
58,590.752685,false
58,590.752685,false
58,566.616773,false
58,555.339929,false
58,566.616773,false
58,555.339929,false
58,590.752685,false
58,590.752685,false
58,555.339929,false
58,590.752685,false
58,566.616773,false
59,590.752685,false
59,590.752685,false
59,590.752685,false
59,590.752685,false
59,537.105934,true
59,566.616773,false
59,590.752685,false
59,590.752685,false
59,590.752685,false
59,555.339929,false
59,537.105934,true
59,550.93424,false
59,566.616773,false
60,550.93424,false
60,550.93424,false
60,550.93424,false
60,555.339929,false
60,566.616773,false
60,566.616773,false
60,550.93424,false
60,566.616773,false
60,537.105934,true
60,590.752685,false
60,590.752685,false
60,555.339929,false
60,555.339929,false
60,550.93424,false
60,590.752685,false
61,566.616773,false
61,537.105934,true
61,537.105934,true
61,590.752685,false
61,555.339929,false
61,555.339929,false
61,590.752685,false
61,550.93424,false
61,590.752685,false
61,550.93424,false
61,590.752685,false
61,566.616773,false
61,550.93424,false
61,566.616773,false
61,590.752685,false
61,590.752685,false
61,566.616773,false
61,590.752685,false
61,555.339929,false
62,566.616773,false
62,566.616773,false
62,555.339929,false
62,566.616773,false
62,550.93424,false
62,555.339929,false
62,555.339929,false
62,537.105934,true
62,566.616773,false
62,537.105934,true
62,566.616773,false
62,550.93424,false
62,590.752685,false
62,590.752685,false
62,590.752685,false
62,590.752685,false
62,566.616773,false
63,590.752685,false
63,566.616773,false
63,590.752685,false
63,537.105934,true
63,555.339929,false
63,590.752685,false
63,590.752685,false
63,550.93424,false
63,550.93424,false
63,550.93424,false
63,566.616773,false
63,566.616773,false
63,590.752685,false
63,566.616773,false
64,590.752685,false
64,590.752685,false
64,590.752685,false
64,550.93424,false
64,590.752685,false
64,590.752685,false
64,566.616773,false
64,566.616773,false
64,590.752685,false
64,566.616773,false
64,550.93424,false
64,537.105934,true
64,555.339929,false
64,537.105934,true
64,590.752685,false
64,590.752685,false
65,590.752685,false
65,537.105934,true
65,590.752685,false
65,590.752685,false
65,555.339929,false
65,566.616773,false
65,566.616773,false
65,590.752685,false
65,550.93424,false
65,550.93424,false
65,590.752685,false
65,590.752685,false
65,537.105934,true
65,590.752685,false
65,566.616773,false
66,555.339929,false
66,550.93424,false
66,550.93424,false
66,550.93424,false
66,590.752685,false
66,590.752685,false
66,555.339929,false
66,555.339929,false
66,537.105934,true
66,590.752685,false
66,590.752685,false
66,550.93424,false
66,550.93424,false
66,537.105934,true
66,555.339929,false
67,590.752685,false
67,590.752685,false
67,555.339929,false
67,550.93424,false
67,590.752685,false
67,555.339929,false
67,590.752685,false
67,566.616773,false
67,590.752685,false
67,555.339929,false
67,590.752685,false
67,566.616773,false
67,537.105934,true
67,537.105934,true
67,555.339929,false
67,590.752685,false
67,566.616773,false
67,555.339929,false
68,555.339929,false
68,537.105934,true
68,590.752685,false
68,566.616773,false
68,566.616773,false
68,550.93424,false
68,566.616773,false
68,590.752685,false
68,550.93424,false
68,590.752685,false
68,550.93424,false
68,590.752685,false
68,566.616773,false
68,550.93424,false
68,550.93424,false
68,550.93424,false
69,566.616773,false
69,550.93424,false
69,590.752685,false
69,550.93424,false
69,550.93424,false
69,555.339929,false
69,550.93424,false
69,566.616773,false
69,590.752685,false
69,590.752685,false
69,537.105934,true
69,555.339929,false
69,550.93424,false
69,590.752685,false
69,550.93424,false
69,537.105934,true
70,550.93424,false
70,566.616773,false
70,555.339929,false
70,550.93424,false
70,590.752685,false
70,550.93424,false
70,566.616773,false
70,537.105934,true
70,537.105934,true
70,555.339929,false
70,566.616773,false
70,555.339929,false
70,537.105934,true
70,590.752685,false
70,555.339929,false
70,590.752685,false
70,590.752685,false
71,566.616773,false
71,590.752685,false
71,537.105934,true
71,537.105934,true
71,566.616773,false
71,590.752685,false
71,537.105934,true
71,590.752685,false
71,590.752685,false
71,550.93424,false
71,537.105934,true
71,537.105934,true
71,550.93424,false
71,590.752685,false
71,555.339929,false
72,590.752685,false
72,590.752685,false
72,555.339929,false
72,566.616773,false
72,555.339929,false
72,555.339929,false
72,590.752685,false
72,590.752685,false
72,566.616773,false
72,550.93424,false
72,590.752685,false
72,550.93424,false
72,555.339929,false
72,537.105934,true
72,590.752685,false
72,550.93424,false
73,537.105934,true
73,555.339929,false
73,550.93424,false
73,537.105934,true
73,555.339929,false
73,555.339929,false
73,555.339929,false
73,590.752685,false
73,566.616773,false
73,550.93424,false
73,555.339929,false
73,555.339929,false
73,590.752685,false
73,590.752685,false
73,555.339929,false
74,566.616773,false
74,566.616773,false
74,550.93424,false
74,566.616773,false
74,590.752685,false
74,590.752685,false
74,555.339929,false
74,566.616773,false
74,566.616773,false
74,590.752685,false
74,537.105934,true
74,555.339929,false
74,555.339929,false
74,566.616773,false
74,590.752685,false
74,555.339929,false
74,555.339929,false
75,550.93424,false
75,590.752685,false
75,590.752685,false
75,590.752685,false
75,537.105934,true
75,566.616773,false
75,550.93424,false
75,566.616773,false
75,590.752685,false
75,550.93424,false
75,537.105934,true
75,550.93424,false
75,555.339929,false
76,590.752685,false
76,566.616773,false
76,537.105934,true
76,590.752685,false
76,550.93424,false
76,566.616773,false
76,550.93424,false
76,590.752685,false
76,590.752685,false
76,590.752685,false
76,537.105934,true
77,590.752685,false
77,555.339929,false
77,555.339929,false
77,590.752685,false
77,537.105934,true
77,555.339929,false
77,590.752685,false
77,550.93424,false
77,566.616773,false
77,550.93424,false
77,555.339929,false
77,590.752685,false
77,590.752685,false
77,550.93424,false
77,590.752685,false
78,550.93424,false
78,555.339929,false
78,590.752685,false
78,590.752685,false
78,590.752685,false
78,590.752685,false
78,566.616773,false
78,590.752685,false
78,590.752685,false
78,537.105934,true
78,566.616773,false
78,555.339929,false
78,550.93424,false
78,550.93424,false
78,537.105934,true
79,566.616773,false
79,590.752685,false
79,590.752685,false
79,550.93424,false
79,590.752685,false
79,550.93424,false
79,537.105934,true
79,590.752685,false
