csn,Scenario,Choice_,RECRE,PRICE,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
91,2,1,1,5,1,0,0,5,27,1,1,1,1,0,0,1,0,0,0,0,1,8
91,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
92,1,0,3,3,1,0,0,5,27,1,1,1,1,0,0,0,0,0,0,0,0,8
92,2,0,2,1,1,0,0,5,27,1,1,1,1,1,0,1,0,1,0,0,1,8
92,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
93,1,0,1,5,1,0,0,5,27,1,1,1,1,0,1,0,0,1,0,0,1,8
93,2,1,1,3,1,0,0,5,27,1,1,1,1,1,0,0,1,1,0,0,1,8
93,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
94,1,0,3,4,1,0,0,5,27,1,1,1,1,0,0,1,0,1,0,0,1,8
94,2,0,2,6,1,0,0,5,27,1,1,1,1,1,0,0,0,0,1,0,0,8
94,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
95,1,1,2,2,1,0,0,5,27,1,1,1,1,0,1,0,1,1,0,0,1,8
95,2,0,3,2,1,0,0,5,27,1,1,1,1,0,1,0,0,0,0,0,0,8
95,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
96,1,0,3,4,1,0,0,5,27,1,1,1,1,1,0,0,1,0,1,1,0,8
96,2,0,2,1,1,0,0,5,27,1,1,1,1,0,1,1,0,0,0,0,0,8
96,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
97,1,0,2,6,1,0,0,5,27,1,1,1,1,0,1,0,0,0,1,1,0,8
97,2,0,3,4,1,0,0,5,27,1,1,1,1,0,1,0,1,1,0,1,0,8
97,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
98,1,0,1,1,1,0,0,5,27,1,1,1,1,1,0,1,0,0,1,1,0,8
98,2,1,1,3,1,0,0,5,27,1,1,1,1,0,0,0,1,0,1,1,0,8
98,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
99,1,0,2,6,1,0,0,5,27,1,1,1,1,0,0,1,0,0,0,0,0,8
99,2,0,3,2,1,0,0,5,27,1,1,1,1,0,0,0,0,0,1,1,0,8
99,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
100,1,0,2,5,1,0,1,4,26,0,2,1,1,1,0,1,0,0,0,0,1,9
100,2,1,2,1,1,0,1,4,26,0,2,1,1,0,0,0,1,1,0,0,0,9
100,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
