choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
2,60,959,309,1991,3289,26,5877,2546,10068,9748,0,0,0,0,0
3,1028,2932,2109,1556,678,4333,2181,1759,434,1653,578,289,0,557,0
2,578,2932,2109,1556,1028,105,2181,1759,434,4333,692,0,876,1332,1976
3,1184,526,3153,1730,96,228,3918,6816,15564,1841,308,0,405,405,469
5,526,417,3400,2701,4409,3918,0,17619,4208,19541,0,0,0,748,0
2,1023,1556,1101,148,3400,194,434,460,3677,17619,136,0,184,317,0
4,3400,1395,0,4409,2701,17619,527,34996,19541,4208,600,0,0,600,1400
2,1190,2705,1463,1188,3400,1597,89841,2508,3200,17619,0,489,123,334,295
1,1792,456,702,360,842,2677,0,792,100,956,0,0,1200,0,0
3,2469,1031,7024,772,360,17977,402,12895,1424,100,743,183,609,519,0
2,106,7024,1309,772,1447,327,12895,2066,1424,2000,0,0,836,668,0
2,4054,1223,5190,163,646,2456,42422,59651,1310,194,0,1700,0,1264,0
1,1265,143,1148,442,92,315,65,1063,457,2307,0,0,0,0,0
4,384,1331,45,1325,2701,551,9861,111,30295,4208,230,0,230,337,0
1,1911,303,1850,295,1331,686,180,1213,197,9861,434,0,0,0,0
1,1911,303,1850,295,66,686,180,1213,197,1777,434,0,0,0,434
5,295,388,702,148,1792,197,252,792,3677,2677,0,0,0,836,1200
5,1028,578,2932,148,2121,4333,105,2181,3677,41669,220,0,191,381,381
5,6438,578,2932,148,1556,77335,105,2181,3677,434,381,0,191,381,391
5,2932,526,3153,1730,1184,2181,3918,6816,15564,228,692,972,1512,1512,0
3,526,1184,3153,1730,1190,3918,228,6816,15564,1597,308,0,521,521,741
1,1028,81,1491,1548,526,4333,491,690,12008,3918,414,197,197,414,308
3,1491,81,66,1028,1548,690,491,1777,4333,12008,644,644,3100,1372,1372
2,889,4358,1199,267,1491,480,16200,13735,3670,690,0,476,0,829,197
5,2939,889,1199,267,4358,2361,480,13735,3670,16200,829,0,0,829,476
1,889,1199,4358,267,2939,480,13735,16200,3670,2361,0,0,476,829,829
4,267,1199,4358,889,2939,3670,13735,16200,480,2361,829,0,476,0,829
3,1028,2109,2932,1556,1548,4333,1759,2181,434,12008,1976,0,876,1896,1976
3,1394,468,3375,96,2109,1528,728,17328,1841,1759,355,0,316,469,0
5,1856,686,724,280,863,3751,368,2219,5127,7471,611,0,0,611,0
3,2469,598,2705,20452,552,17977,429,89841,83361,3932,292,118,317,317,294
2,598,2469,401,2705,20452,429,17977,4547,89841,83361,396,972,1056,1056,1056
3,2473,3479,4160,1817,2705,1131,27106,19515,1498,89841,1004,644,644,1552,1056
5,1309,2705,20452,2469,401,2066,89841,83361,17977,4547,1124,0,0,556,0
1,4054,309,5190,379,92,2456,33,59651,225,2307,588,0,588,1176,0
1,4409,417,3400,2701,4054,19541,0,17619,4208,2456,0,0,0,748,170
5,350,66,3610,6617,898,1083,0,5189,95932,56296,2336,0,0,1612,1612
4,1199,91,4358,889,2014,13735,401,16200,480,2229,392,314,354,392,958
3,1199,889,4358,1934,2014,13735,480,16200,23864,2229,310,310,490,888,958
4,267,1199,4358,889,1934,3670,13735,16200,480,23864,2544,0,1424,0,2000
3,4358,1199,889,267,2939,16200,13735,480,3670,2361,1424,0,0,2544,2544
1,1617,217,1816,233,889,1259,216,3919,1470,480,0,0,609,0,0
5,163,217,1816,233,1617,1310,216,3919,1470,1259,2200,0,1884,0,0
1,1617,217,1816,233,163,1259,216,3919,1470,1310,0,0,609,0,759
4,233,217,1617,78,933,1470,216,1259,112,1770,0,0,0,609,283
2,81,1028,1491,1548,1556,491,4333,690,12008,434,0,265,0,265,511
